name,country,unit,date,value
deforestation,Venezuela,%,2015,-0.19368935158408845
deforestation,Vietnam,%,1990,2.568376998195385
deforestation,Vietnam,%,2000,1.3611561341129148
deforestation,Vietnam,%,2010,1.00656853942991
deforestation,Vietnam,%,2015,0.8267042908975057
deforestation,World,%,1990,-0.18456090651558074
deforestation,World,%,2000,-0.12306397306397307
deforestation,World,%,2010,-0.11692644909887967
deforestation,World,%,2015,-0.12687854151268785
deforestation,Zambia,%,2000,-0.0760827984868449
deforestation,Zambia,%,2010,-0.4029895494260751
deforestation,Zambia,%,2015,-0.4113421236102642
deforestation,Zimbabwe,%,1990,-0.244705917347084
deforestation,Zimbabwe,%,2000,-0.2508442239401328
deforestation,Zimbabwe,%,2010,-0.2572984058333631
deforestation,Zimbabwe,%,2015,-0.2606516687760574
